node	Argentina	Australia	Canada	China	Czech Republic	Denmark	Germany	Ireland	Japan	Netherlands	Norway	Portugal	Singapore	UK	USA
Node_25	2.4460635920189036e-14	1.5722878686444055e-13	1.3127820567592527e-13	2.583781673119664e-13	7.025385211679211e-14	2.197071499194125e-14	8.788860977704899e-14	6.590847434653828e-14	4.77700195872511e-14	2.1970574039461998e-14	2.1970582076097422e-14	2.1970567662896014e-14	1.5728483685958015e-13	0.9999999999984572	4.544117848246903e-13
ERR5412078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_32	7.005585036005867e-07	4.503070321151194e-06	3.759839426242747e-06	7.4000129369381345e-06	2.0120872438355003e-06	6.29246568568786e-07	2.5171509501977724e-06	1.887635617235381e-06	1.3681448654159405e-06	6.292425316558372e-07	6.292427618270087e-07	6.292423490294518e-07	4.504675606510511e-06	0.9999558153873647	1.3014462953209953e-05
Node_57	7.758378278876122e-09	4.986952950868629e-08	4.163857320509315e-08	8.19518988610779e-08	2.2282984058497793e-08	6.968629863958838e-09	2.7876343169479095e-08	2.2856286638528496e-08	1.5151604543580838e-08	6.968585156917765e-09	6.968587705962659e-09	6.9685831344106156e-09	4.9887307340229237e-08	0.9999995087232373	1.4412947122684698e-07
Node_67	1.4273312037896987e-08	9.174641017422966e-08	7.660368272932537e-08	1.5076926936228162e-07	4.0994647743381076e-08	1.2820389126386021e-08	5.128491164407552e-08	4.001464428570736e-08	2.7874843395323167e-08	1.2820306877554656e-08	1.2820311567105881e-08	1.2820303156689987e-08	9.177911656309709e-08	0.9999990982187108	2.6515914057440177e-07
Node_81	1.8060841038036232e-10	1.1609303567688071e-09	1.023729449130484e-09	1.913512668461913e-09	5.281951137564011e-10	1.723427922558036e-10	6.489374256596913e-10	4.866441254777306e-10	3.527163941335127e-10	1.6222270194708953e-10	1.6222276130627623e-10	1.6222265882867022e-10	1.1613338442964143e-09	0.9999999884754549	3.4089263414256122e-09
ERR5412437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_85	0.00029320325355347137	0.001884783445265705	0.0022196491153936493	0.0031652860178191787	0.001075099491535604	0.00038348839090651156	0.0010534978093321395	0.0007900276633547102	0.0005726067463275896	0.0002633555311875267	0.00026335562775329434	0.00026335550181087573	0.001885332248681767	0.9798023446306268	0.006084614526451317
Node_89	0.0029758227820762995	0.01914293148716144	0.09394746367819796	0.03966211910690598	0.18485943851883813	0.017172373854646372	0.010692319304817753	0.008018267844124658	0.005811586865013812	0.0026728876540466746	0.002672888659853189	0.002672892557996389	0.019134898242777688	0.4583130923848128	0.13225101705873085
ERR363430	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR363483	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_99	5.089827424396468e-11	3.274442962938101e-10	0.9999996219648244	6.921597459984087e-10	4.00594460883556e-10	3.1836985097464754e-10	1.8288071589718382e-10	1.3714391740886238e-10	9.940099369785289e-11	4.571689182802273e-11	4.571690907831525e-11	4.5716985217575355e-11	3.2728202091649413e-10	3.7297092663333327e-07	2.3909239198164477e-09
ERR5413401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR29263925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR29263894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR27279524	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
