node	Australia	Canada	Denmark	Germany	Japan	Norway	Singapore	Spain	Sweden	Taiwan	UK	USA
Node_51	0.007545209388699129	0.001857501262473834	0.00027270178203792317	0.00021566665177825812	0.0002946731184939656	0.0005428785248831462	0.00086648054503172	0.0003371726732938303	0.0002481561223322833	0.0005788104002246191	0.9841236609365849	0.0031170885941664895
SRR25361444	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_88	0.999999616078551	3.009822540882219e-08	5.173708040468869e-09	5.144681948052906e-09	5.1856427327364754e-09	1.0331253654270681e-08	1.5459933374075855e-08	5.144851155667575e-09	5.158956374341533e-09	1.0304558755746718e-08	2.536613492740559e-07	3.825828834753508e-08
Node_94	0.00029197018871182716	0.00017691862850691614	4.079499217814657e-05	2.3419755859214757e-05	4.7483806366642755e-05	8.094554921798644e-05	0.0011996594823421663	2.3725301537203387e-05	3.333438650260824e-05	5.176701587464042e-05	0.9971415554651388	0.0008884254277638082
Node_116	0.0002918304619085948	0.000176767235391363	4.076829911799658e-05	2.339432305246008e-05	4.7456629793502954e-05	8.089227956345704e-05	0.0011995018382144874	2.3699834941875805e-05	3.3308239448265205e-05	5.171573735976303e-05	0.9971412545534744	0.0008894105677338238
DRR317503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ERR3198392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Node_32	0.0009407325995192232	0.006417432595753657	0.000118828123434531	0.00011066065675708073	0.00012198636578571008	0.00023705893132415758	0.0027771794620968238	0.00192794103006079	0.00011527736058136155	0.0020553733032316777	0.9841407649468029	0.0010367646246520882
Node_40	0.0009394855341512847	0.006405473912443332	0.00011858625990944942	0.00011041964915558866	0.00012174413697186292	0.0002365759447424095	0.0027785281863874274	0.0019275018519863793	0.00011503597213825692	0.0020546909704057354	0.9841570003800941	0.0010349572016141802
Node_43	0.0002757200605806857	0.0002413699044217327	4.08187478106288e-05	4.0163538968057455e-05	4.1076787480394625e-05	8.14971323893776e-05	0.00012308168970878795	4.156889633581346e-05	4.051985608180085e-05	8.208572406369832e-05	0.9986772261764055	0.00031487148575350745
Node_50	0.9999910375235959	1.0149116216978359e-06	1.736774924675638e-07	1.7348651980484594e-07	1.7377690202679988e-07	3.4683603932662637e-07	5.215140769960486e-07	1.7393700088300268e-07	1.7351775804922302e-07	3.477623331733995e-07	4.573307870153852e-06	1.2897487896750598e-06
