node	Australia	Canada	China	Denmark	Germany	Netherlands	Norway	Singapore	Spain	Taiwan	Thailand	UK	USA
n49	4.460733228084131e-14	9.483910111061937e-15	1.6437011210907872e-14	9.496547229119471e-15	2.1711236729759167e-14	9.483471224919415e-15	1.8967972735377653e-14	9.483465816355313e-15	9.500045539538715e-15	9.483472266725275e-15	9.483508974838359e-15	5.52430566558671e-14	0.9999999999997766
SRR21939595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR6871408	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n5454	0.9995525467138865	5.769780432294613e-06	1.000018562078746e-05	5.777647241055627e-06	1.3208994840032181e-05	5.769691875621187e-06	1.154001054240685e-05	5.769688585062424e-06	5.779775493042013e-06	5.76969250854961e-06	5.7697129265851936e-06	3.352745456522419e-05	0.00033877065148270156
n57	9.550972949792781e-05	2.382382627164532e-05	4.128765189484321e-05	2.385409287721971e-05	5.453582660313725e-05	2.382124762209141e-05	4.7645083426713056e-05	2.382123403662975e-05	2.38628810130113e-05	2.382125024642101e-05	2.3821358293242688e-05	0.00013944876941028117	0.9994547470488069
n5858	1.2469999479956984e-05	3.1159335789156165e-06	5.400305536145682e-06	3.1200473246047077e-06	7.133128440166227e-06	3.1157512621906395e-06	6.231841026175749e-06	3.115749485235369e-06	3.121196700104898e-06	3.1157516046635416e-06	3.1157640740270223e-06	1.8167804734648806e-05	0.9999287767267532
SRR26727914	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR26728044	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n70	1.9554319050924663e-05	4.914184670809191e-06	8.484193577378604e-06	4.901776955984998e-06	1.120655889021349e-05	4.8950275956344005e-06	9.790586958222072e-06	4.895024803909281e-06	4.903582555433245e-06	4.895028132458892e-06	4.895045127066816e-06	2.8424935735299393e-05	0.9998882397359466
n72	8.793582095594878e-07	8.905685852438908e-07	3.813259123244571e-07	2.2030994666609857e-07	5.036840146620839e-07	2.2000658782399334e-07	4.4003714764497016e-07	2.2000646239483755e-07	2.2039134968525108e-07	2.2000661418752078e-07	2.2001213317073837e-07	1.278088986382117e-06	0.9999943062040504
ERR4298303	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR4298319	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR7253677	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR7253694	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n88	1.2339264809226432e-10	3.088788248487104e-11	5.362770257694746e-11	3.92862963906907e-11	3.2462094906456903e-09	3.448634900336194e-11	6.197531958174517e-11	3.987078016828712e-11	3.096313447592941e-11	3.2889097238093824e-11	3.08888723798019e-11	1.8827275003963155e-10	0.9999999960872495
n9	2.252969304044052e-12	5.618809263868712e-13	1.1374117170699466e-12	1.536221457757518e-11	0.9999999998909747	6.935565567688827e-12	1.4720216769172334e-12	1.647209380664411e-11	6.008878019236996e-13	4.106628072983012e-12	5.637945662339768e-13	1.9045554037332125e-11	4.051434012535078e-11
ERR4326519	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n20	1.4401049203353341e-07	3.605036973833219e-08	6.24830629904193e-08	3.609984145339617e-08	0.999998999906387	3.605013482026175e-08	7.210418589964254e-08	3.6050114260190964e-08	3.611313899756066e-08	3.6050138773312705e-08	3.6050262932451183e-08	2.0933941577259423e-07	2.596924552551338e-07
ERR4326544	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR4326571	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR4326535	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR4326536	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n23	1.9821051001829434e-10	4.96183442697985e-11	8.599928802376649e-11	4.9686435238281746e-11	0.9999999986235096	4.961802093758899e-11	9.924143206381208e-11	4.961799263949724e-11	4.970473746733158e-11	4.9618026378416496e-11	4.961819726628594e-11	2.881267314714528e-10	3.574307210341125e-10
ERR4326503	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR4326497	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n2727	1.859081394441079e-16	4.6538672770904504e-17	8.06615533582997e-17	4.6602537523901204e-17	0.999999999999999	4.653836950701862e-17	9.308179464877728e-17	4.653834296531027e-17	4.6619703784913404e-17	4.6538374610149024e-17	4.6538534891487966e-17	2.702435131569257e-16	3.35245998415953e-16
n4949	2.790352802356167e-12	6.984761448202584e-13	1.2106097316929737e-12	6.994346512696149e-13	1.5990640856923026e-12	6.984715849452452e-13	1.39701904743648e-12	6.984711865937495e-13	6.996922912746851e-13	6.984716615356804e-13	6.984740672091998e-13	4.055956310174759e-12	0.9999999999840555
n51	1.8455731103131963e-15	4.619800190085596e-16	8.007109632263014e-16	4.626139858861449e-16	1.0576390646759093e-15	4.61977002931153e-16	9.240041921290883e-16	4.619767394569739e-16	4.62784391898348e-16	4.61977053588929e-16	4.61978644729934e-16	2.6826554159139598e-15	0.9999999999999895
SRR25361432	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR25361427	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n5757	2.3227616764533078e-05	5.814345606551766e-06	1.0077501756169333e-05	5.822317208746306e-06	1.3311119771461825e-05	5.814300337217256e-06	1.1629232304522183e-05	5.814297021213064e-06	5.824461890488043e-06	5.814300974817338e-06	5.814321078868112e-06	3.376645744393892e-05	0.9998672697278415
SRR12051511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n59	6.420847774434591e-06	1.6072191115034758e-06	2.7856512692960063e-06	1.6094212266445278e-06	3.679497021144415e-06	1.6072051805372959e-06	3.2145849582617255e-06	1.607204263918263e-06	1.6100140663784709e-06	1.6072053567916353e-06	1.607210929220198e-06	9.33447454844925e-06	0.9999633094642935
n61	0.00025000633717422484	6.258187525957989e-05	0.00010846775484045928	6.266768205221068e-05	0.00014327234179028605	6.258139359740273e-05	0.00012516958565439115	6.258135790606338e-05	6.269076602552964e-05	6.258140046009227e-05	6.258161678721805e-05	0.0003634378702964788	0.9985713800181562
SRR7800557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n7070	1.7475902171739493e-12	4.3786549143658106e-13	7.582417826506933e-13	4.3807724416106006e-13	1.001542587407704e-12	4.3747404635794776e-13	8.749956171768538e-13	4.3747379685829107e-13	4.3823861209272893e-13	4.3747409433013906e-13	4.3747560377996347e-13	2.5403669883785905e-12	0.9999999999900131
